"ID_CLIENTE","FECHA_INTERACCION","NOMBRE_CORTO_DE_EXPERIENCIA","CALIFICACION"
"1","1/4/2021 9:47","Bono virtual Crepes&Waffles 10","5"
"2","1/7/2021 17:22","Curso Prueba","4"
"3","1/13/2021 17:07","Bono mercado Justo y Bueno 30 ","5"
"4","1/19/2021 17:30","Bono virtual Crepes&Waffles 10","5"
"5","1/30/2021 13:30","Zapatoca 31","1"
"2","2/5/2021 8:31","Curso Prueba","5"
"6","2/19/2021 12:02","Falabella 50","4"
"2","2/24/2021 17:24","Curso Prueba","5"
"7","3/13/2021 19:20","Bono virtual Crepes&Waffles 20","5"
"7","3/13/2021 19:20","Bono virtual Crepes&Waffles 20","5"
"7","3/13/2021 19:20","Bono virtual Crepes&Waffles 20","5"
"7","3/13/2021 19:20","Bono virtual Crepes&Waffles 20","5"
"7","3/13/2021 19:21","Bono virtual Crepes&Waffles 30","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"8","3/14/2021 11:40","Bono virtual Crepes&Waffles 20","5"
"9","4/3/2021 17:32","Bono mercado Justo y Bueno 30 ","5"
"10","4/4/2021 18:42","Bono mercado Justo y Bueno 20 ","5"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"2","4/8/2021 12:01","Curso Prueba","3"
"11","4/9/2021 14:14","Bono virtual Crepes&Waffles 10","1"
"12","4/12/2021 14:07","Bono virtual Crepes&Waffles 10","5"
"13","4/16/2021 13:21","Bono mercado Justo y Bueno 20 ","5"
"14","4/20/2021 10:44","Bono virtual Crepes&Waffles 10","4"
"15","4/23/2021 16:19","Bono virtual Crepes&Waffles 10","5"
"15","4/23/2021 16:19","Bono virtual Crepes&Waffles 10","5"
"16","5/3/2021 15:53","Bono virtual Crepes&Waffles 30","1"
"16","5/3/2021 15:53","Bono virtual Crepes&Waffles 30","1"
"16","5/3/2021 15:53","Bono virtual Crepes&Waffles 30","1"
"16","5/3/2021 15:53","Bono virtual Crepes&Waffles 30","1"
"17","5/5/2021 12:46","Bono virtual Crepes&Waffles 10","5"
"18","5/7/2021 8:02","Combo hamburguesa el Corral ","5"
"18","5/7/2021 8:02","Combo hamburguesa el Corral ","5"
"19","5/11/2021 20:52","Bono mercado Justo y Bueno 20 ","5"
"20","5/12/2021 8:41","Bono mercado Justo y Bueno 20 ","5"
"20","5/12/2021 8:41","Bono mercado Justo y Bueno 20 ","5"
"20","5/12/2021 8:41","Bono mercado Justo y Bueno 20 ","5"
"20","5/12/2021 8:41","Bono virtual Crepes&Waffles 10","5"
"20","5/12/2021 8:41","Bono virtual Crepes&Waffles 10","5"
"21","5/12/2021 16:33","Bono mercado Justo y Bueno 50 ","5"
"22","5/12/2021 18:33","Restaurantes 50","5"
"22","5/12/2021 18:33","Restaurantes 50","5"
"22","5/12/2021 18:33","Bonos corral","5"
"23","5/12/2021 20:15","Restaurantes 30","5"
"24","5/13/2021 7:38","Bonos Libreria Nacional 30","5"
"24","5/13/2021 7:38","Combo hamburguesa el Corral ","5"
"25","5/13/2021 8:40","Bono virtual Crepes&Waffles 20","5"
"25","5/13/2021 8:40","Bono virtual Crepes&Waffles 20","5"
"25","5/13/2021 8:40","Bono virtual Crepes&Waffles 20","5"
"26","5/13/2021 9:34","Bono mercado Justo y Bueno 20 ","4"
"27","5/13/2021 13:35","Bono virtual Crepes&Waffles 30","5"
"27","5/13/2021 13:35","Bono virtual Crepes&Waffles 30","5"
"27","5/13/2021 13:35","Bono virtual Crepes&Waffles 30","5"
"27","5/13/2021 13:35","Bono virtual Crepes&Waffles 30","5"
"28","5/13/2021 17:43","Bono virtual Crepes&Waffles 10","5"
"29","5/14/2021 8:11","Combo hamburguesa el Corral ","4"
"29","5/14/2021 8:11","Combo hamburguesa el Corral ","4"
"29","5/14/2021 8:11","Combo hamburguesa el Corral ","4"
"30","5/14/2021 9:48","Bono virtual Crepes&Waffles 30","5"
"30","5/14/2021 9:48","Bono virtual Crepes&Waffles 30","5"
"31","5/14/2021 14:33","Combo hamburguesa el Corral ","5"
"31","5/14/2021 14:33","Combo hamburguesa el Corral ","5"
"31","5/14/2021 14:33","Combo hamburguesa el Corral ","5"
"31","5/14/2021 14:33","Combo hamburguesa el Corral ","5"
"31","5/14/2021 14:33","Combo hamburguesa el Corral ","5"
